name,market_value,goals,assists,contribution
Cédric Fauré,10.819798284210286,9,3,12
Julien Cardy,12.429220196836383,0,0,0
Bekir Ozan Has,10.819798284210286,2,7,9
Selcuk Sahin,11.51293546492023,8,5,13
Filip Daems,11.51293546492023,7,0,7
Servet Cetin,12.611541086966115,6,3,9
Ali Tandogan,10.819798284210286,0,0,0
Serhat Gülpinar,11.225256725762893,0,0,0
Mustafa Keceli,10.819798284210286,1,0,1
Volkan Demirel,11.51293546492023,0,0,0
Bülent Ertugrul,11.51293546492023,0,0,0
Hakan Bayraktar,11.51293546492023,0,2,2
Oguz Daglaroglu,11.51293546492023,0,0,0
Francesco Magnanelli,12.899222326086994,4,4,8
Daniele Gastaldello,12.611541086966115,6,5,11
Paolo Sammarco,11.225256725762893,5,2,7
Giorgio Frezzolini,10.819798284210286,0,0,0
Andrea Barzagli,13.815511557963774,1,3,4
Ilker Avcibay,10.819798284210286,0,0,0
Luciano Figueroa,11.51293546492023,5,1,6
Mehmet Nas,11.51293546492023,2,3,5
Murat Erdogan,13.122365377402328,0,1,1
Giannis Takidis,12.206077645517674,0,0,0
Ahmet Sahin,10.12667110305036,0,0,0
Kaya Tarakci,9.210440366976517,0,0,0
Ibrahim Toraman,13.710151153416941,3,1,4
Diederik Boer,12.429220196836383,0,0,0
Senol Can,10.12667110305036,1,3,4
Serdar Kulbilge,10.12667110305036,0,0,0
Egemen Korkmaz,10.819798284210286,7,3,10
Kwame Quansah,13.652992804936396,1,3,4
Steven Reid,13.122365377402328,0,1,1
Alan Tate,13.122365377402328,0,0,0
Serkan Balci,10.819798284210286,1,4,5
Ugur Boral,12.429220196836383,1,2,3
Juanma Ortiz,10.819798284210286,0,2,2
Javier Pinola,11.736077016252437,0,2,2
Albert Riera,12.611541086966115,2,3,5
Gökhan Ünal,10.819798284210286,9,3,12
Özden Öngün,11.51293546492023,0,0,0
Bekir Irtegün,10.12667110305036,9,1,10
Muhammet Özdin,11.51293546492023,0,0,0
Ömer Erdogan,13.122365377402328,1,1,2
Can Arat,10.819798284210286,0,0,0
Hossam Ghaly,12.429220196836383,0,4,4
José Javier Barkero,12.611541086966115,6,7,13
Joseba Llorente,13.592368256649284,3,0,3
Joan Capdevila,11.51293546492023,0,0,0
Manuel Pablo,11.51293546492023,1,2,3
Lionel Scaloni,11.51293546492023,0,2,2
Borja Fernández,11.51293546492023,2,3,5
Rubén González,11.51293546492023,1,0,1
Valdo,10.819798284210286,0,1,1
José Manuel Pinto,12.611541086966115,0,0,0
Juanfran,11.51293546492023,2,6,8
Andrés Palop,11.51293546492023,0,0,0
David Navarro,11.51293546492023,2,2,4
Carlos Marchena,12.611541086966115,2,0,2
David Albelda,13.122365377402328,0,0,0
Víctor Valdés,14.508658238524095,0,0,0
Fernando Navarro,11.51293546492023,0,6,6
Carles Puyol,13.815511557963774,4,0,4
Daniel Aranzubia,13.815511557963774,0,0,0
Carlos Merino,11.918397239722838,0,0,0
Carlos Gurpegui,13.122365377402328,5,0,5
Pablo Orbaiz,13.815511557963774,1,2,3
Toni Doblas,10.819798284210286,0,0,0
Alberto Cifuentes,11.51293546492023,0,0,0
Leo Franco,11.51293546492023,0,0,0
Antonio López,12.206077645517674,0,0,0
Pablo García,12.429220196836383,0,0,0
Patxi Puñal,11.51293546492023,2,3,5
José María Movilla,11.51293546492023,0,4,4
Josemi,12.611541086966115,0,0,0
Alexis Ruano,13.07107218827772,9,3,12
Ivan Leko,11.918397239722838,5,4,9
Juanito,12.765691290604371,0,0,0
Albano Bizzarri,12.206077645517674,0,0,0
Mario Abrante,12.611541086966115,1,0,1
David Aganzo,12.206077645517674,12,2,14
Pepe Reina,13.304686600863562,0,2,2
Sergio Ballesteros,11.51293546492023,0,0,0
Carlos Aranda,12.206077645517674,3,1,4
Jorge López,13.122365377402328,0,1,1
Yossi Benayoun,12.429220196836383,0,2,2
Rodolfo Bodipo,11.51293546492023,1,0,1
Gorka Iraizoz,12.206077645517674,0,0,0
Alberto Lopo,11.51293546492023,4,1,5
Raúl Tamudo,11.51293546492023,1,0,1
Nano,10.819798284210286,0,1,1
Carlos Kameni,10.819798284210286,0,1,1
Rowan Vine,11.918397239722838,7,4,11
Abdurrahman Dereli,11.918397239722838,0,0,0
Miguel Ángel Corona,12.206077645517674,2,2,4
Kees Kwakman,12.765691290604371,4,2,6
Jeroen Verhoeven,10.819798284210286,0,0,0
Gill Swerts,12.429220196836383,0,1,1
Luciano Galletti,12.206077645517674,0,1,1
Cani,12.611541086966115,3,6,9
David Generelo,12.611541086966115,0,0,0
Fernando Soriano,12.206077645517674,8,6,14
Carl Medjani,13.122365377402328,12,4,16
Marc Janko,12.899222326086994,3,2,5
Lluis Sastre,10.819798284210286,1,0,1
Rodri,12.429220196836383,0,0,0
Oier Olazábal,12.206077645517674,0,0,0
Rubén Martínez,12.206077645517674,0,0,0
Juanmi Callejón,11.918397239722838,0,1,1
Jay Bothroyd,11.736077016252437,3,1,4
